Stkcd,Accper,eps,eps_diluted,ttl_shr_cap,
776,30/9/2011,0.61,0.61,,
776,31/12/2011,0.78,0.78,2959645732,
776,31/3/2012,0.22,0.22,,
776,30/6/2012,0.25,0.25,2959645732,
776,30/9/2012,0.31,0.31,,
776,31/12/2012,0.37,0.37,5919291464,
776,31/3/2013,0.11,0.11,,
776,30/6/2013,0.23,0.23,5919291464,
776,30/9/2013,0.39,0.39,,
776,31/12/2013,0.48,0.48,5919291464,
776,31/3/2014,0.14,0.14,,
776,30/6/2014,0.28,0.28,5919291464,
776,30/9/2014,0.51,0.51,,
776,31/12/2014,0.85,0.85,5919291464,
776,31/3/2015,0.43,0.43,,
776,30/6/2015,1.3,1.3,7621087664,
776,30/9/2015,1.51,1.51,,
776,31/12/2015,1.87,1.87,7621087664,
776,31/3/2016,0.24,0.24,,
776,30/6/2016,0.53,0.53,7621087664,
776,30/9/2016,0.81,0.81,,
776,31/12/2016,1.05,1.05,7621087664,
776,31/3/2017,0.28,0.28,,
776,30/6/2017,0.56,0.56,7621087664,
776,30/9/2017,0.84,0.84,,
776,31/12/2017,1.13,1.13,7621087664,
776,31/3/2018,0.2,0.2,,
776,30/6/2018,0.38,0.38,7621087664,
776,30/9/2018,0.54,0.54,,
776,31/12/2018,0.56,0.56,7621087664,
776,31/3/2019,0.38,0.38,,
776,30/6/2019,0.54,0.54,7621087664,
776,30/9/2019,0.74,0.74,,
776,31/12/2019,0.99,0.99,7621087664,
776,31/3/2020,0.27,0.27,,
776,30/6/2020,0.75,0.75,7621087664,
776,30/9/2020,1.07,1.07,,
898,31/3/2007,0.4,0.4,,
898,30/6/2007,0.81,0.81,5932985697,
898,30/9/2007,1.11,1.11,,
898,31/12/2007,1.12,1.12,7234807847,
898,31/3/2008,0.34,0.34,,
898,30/6/2008,0.83,0.83,7234807847,
898,30/9/2008,1.141,1.141,,
898,31/12/2008,0.413,0.413,7234807847,
898,31/3/2009,0.001,0.001,,
898,30/6/2009,-0.216,-0.216,7234807847,
898,30/9/2009,0.046,0.046,,
898,31/12/2009,0.1,0.1,7234807847,
898,31/3/2010,0.159,0.159,,
898,30/6/2010,0.38,0.38,7234807847,
898,30/9/2010,0.355,0.355,,
898,31/12/2010,0.282,0.282,7234807847,
898,31/3/2011,0.01,0.01,,
898,30/6/2011,0.03,0.03,7234807847,
898,30/9/2011,0.033,0.033,,
898,31/12/2011,-0.297,-0.297,7234807847,
898,31/3/2012,-0.261,-0.261,,
898,30/6/2012,-0.273,-0.273,7234807847,
898,30/9/2012,-0.438,-0.438,,
898,31/12/2012,-0.575,-0.575,7234807847,
898,31/3/2013,0.075,0.075,,
898,30/6/2013,0.097,0.097,7234807847,
898,30/9/2013,0.106,0.106,,
898,31/12/2013,0.106,0.106,7234807847,
898,31/3/2014,0.04,0.04,,
898,30/6/2014,0.08,0.08,7234807847,
898,30/9/2014,0.128,0.128,,
898,31/12/2014,0.128,0.128,7234807847,
898,31/3/2015,0.003,0.003,,
898,30/6/2015,0.021,0.021,7234807847,
898,30/9/2015,-0.123,-0.123,,
898,31/12/2015,-0.635,-0.635,7234807847,
898,31/3/2016,-0.085,-0.085,,
898,30/6/2016,0.041,0.041,7234807847,
898,30/9/2016,0.135,0.135,,
898,31/12/2016,0.223,0.223,7234807847,
898,31/3/2017,0.148,0.148,,
898,30/6/2017,0.252,0.252,7234807847,
898,30/9/2017,0.454,0.454,,
898,31/12/2017,0.775,0.775,7234807847,
898,31/3/2018,0.22,0.22,,
898,30/6/2018,0.484,0.481,7234807847,
898,30/9/2018,0.947,0.936,,
898,31/12/2018,1.099,1.099,7234807847,
898,31/3/2019,0.058,0.053,,
898,30/6/2019,0.152,0.146,9405250201,
898,30/9/2019,0.183,0.18,,
898,31/12/2019,0.19,0.187,9405250201,
898,31/3/2020,0.031,0.031,,
898,30/6/2020,0.053,0.053,9405250201,
898,30/9/2020,0.141,0.135,,
921,31/3/2007,0.02,0.02,,
921,30/6/2007,0.12,0.12,992006563,
921,30/9/2007,0.12,0.12,,
921,31/12/2007,0.25,0.25,992006563,
921,31/3/2008,0.01,0.01,,
921,30/6/2008,0.07,0.07,992006563,
921,30/9/2008,0.0505,0.0505,,
921,31/12/2008,-0.2285,-0.2285,992006563,
921,31/3/2009,0.0056,0.0056,,
921,30/6/2009,0.1569,0.1569,992006563,
921,30/9/2009,0.1842,0.1842,,
921,31/12/2009,0.1514,0.1514,992006563,
921,31/3/2010,0.0457,0.0457,,
921,30/6/2010,0.2481,0.2481,1354054750,
921,30/9/2010,0.3508,0.3508,,
921,31/12/2010,0.4365,0.4365,1354054750,
921,31/3/2011,0.0785,0.0785,,
921,30/6/2011,0.2111,0.2111,1354054750,
921,30/9/2011,0.2425,0.2425,,
921,31/12/2011,0.1677,0.1677,1354054750,
921,31/3/2012,0.0935,0.0935,,
921,30/6/2012,0.2805,0.2805,1354054750,
921,30/9/2012,0.4394,0.4394,,
