Indexcd,Trddt,Idxret
399107,14/5/2018,-0.104
399107,15/5/2018,0.9142
399107,16/5/2018,-0.4152
399107,17/5/2018,-0.523
399107,18/5/2018,0.3343
399107,21/5/2018,1.0565
399107,22/5/2018,0.3859
399107,23/5/2018,-1.1036
399107,24/5/2018,-0.419
399107,25/5/2018,-0.934
399107,28/5/2018,-0.2219
399107,29/5/2018,-1.0764
399107,30/5/2018,-2.8242
399107,31/5/2018,1.8038
399107,1/6/2018,-1.2048
399107,4/6/2018,0.089
399107,5/6/2018,1.7053
399107,6/6/2018,0.0792
399107,7/6/2018,-0.631
399107,8/6/2018,-0.9383
399107,11/6/2018,-0.585
399107,12/6/2018,1.032
399107,13/6/2018,-1.5799
399107,14/6/2018,-0.5522
399107,15/6/2018,-1.7582
399107,19/6/2018,-5.7733
399107,20/6/2018,1.1641
399107,21/6/2018,-2.1277
399107,22/6/2018,1.2102
399107,25/6/2018,-0.6312
399107,26/6/2018,0.5618
399107,27/6/2018,-1.2931
399107,28/6/2018,-1.1917
399107,29/6/2018,3.2678
399107,2/7/2018,-1.5815
399107,3/7/2018,0.7586
399107,4/7/2018,-1.9642
399107,5/7/2018,-2.2013
399107,6/7/2018,0.4806
399107,9/7/2018,2.5134
399107,10/7/2018,0.7174
399107,11/7/2018,-1.9677
399107,12/7/2018,2.74
399107,13/7/2018,0.4569
399107,16/7/2018,-0.0979
399107,17/7/2018,-0.1704
399107,18/7/2018,-0.7499
399107,19/7/2018,-0.7897
399107,20/7/2018,1.1269
399107,23/7/2018,0.5264
399107,24/7/2018,1.5065
399107,25/7/2018,-0.0681
399107,26/7/2018,-0.9251
399107,27/7/2018,-0.6631
399107,30/7/2018,-1.396
399107,31/7/2018,-0.0249
399107,1/8/2018,-1.7215
399107,2/8/2018,-2.4046
399107,3/8/2018,-1.7231
399107,6/8/2018,-2.0897
399107,7/8/2018,2.7513
399107,8/8/2018,-1.9006
399107,9/8/2018,2.66
399107,10/8/2018,0.6888
399107,13/8/2018,0.3163
399107,14/8/2018,-0.4481
399107,15/8/2018,-2.1203
399107,16/8/2018,-0.9948
399107,17/8/2018,-1.6901
399107,20/8/2018,0.6053
399107,21/8/2018,1.3935
399107,22/8/2018,-1.1422
399107,23/8/2018,0.6294
399107,24/8/2018,-0.2296
399107,27/8/2018,2.495
399107,28/8/2018,0.0688
399107,29/8/2018,-0.5621
399107,30/8/2018,-1.4873
399107,31/8/2018,-1.0779
399107,3/9/2018,-0.1693
399107,4/9/2018,1.166
399107,5/9/2018,-1.6072
399107,6/9/2018,-0.7199
399107,7/9/2018,0.1046
399107,10/9/2018,-1.8472
399107,11/9/2018,0.1732
399107,12/9/2018,-0.4053
399107,13/9/2018,0.7119
399107,14/9/2018,-0.7842
399107,17/9/2018,-1.5375
399107,18/9/2018,1.6805
399107,19/9/2018,1.36
399107,20/9/2018,-0.2245
399107,21/9/2018,1.7678
399107,25/9/2018,-0.5394
399107,26/9/2018,0.7341
399107,27/9/2018,-1.2622
399107,28/9/2018,0.8353
399107,8/10/2018,-3.8374
399107,9/10/2018,-0.0864
399107,10/10/2018,-0.1458
399107,11/10/2018,-6.4539
399107,12/10/2018,0.1893
399107,15/10/2018,-1.1762
399107,16/10/2018,-1.9225
399107,17/10/2018,0.8129
399107,18/10/2018,-2.7303
399107,19/10/2018,2.5852
399107,22/10/2018,4.9019
399107,23/10/2018,-1.9192
399107,24/10/2018,-0.2394
399107,25/10/2018,-0.342
399107,26/10/2018,-0.1714
399107,29/10/2018,-2.0162
399107,30/10/2018,0.9458
399107,31/10/2018,1.3914
399107,1/11/2018,0.9343
399107,2/11/2018,3.428
399107,5/11/2018,-0.0014
399107,6/11/2018,-0.3557
399107,7/11/2018,-0.4329
399107,8/11/2018,-0.4779
399107,9/11/2018,-0.4338
399107,12/11/2018,2.5296
399107,13/11/2018,1.6291
399107,14/11/2018,-0.4005
399107,15/11/2018,1.4575
399107,16/11/2018,0.8428
399107,19/11/2018,0.5169
399107,20/11/2018,-2.7188
399107,21/11/2018,0.5465
399107,22/11/2018,-0.0434
399107,23/11/2018,-3.6638
399107,26/11/2018,-0.3152
399107,27/11/2018,0.4343
399107,28/11/2018,1.4043
399107,29/11/2018,-2.2141
399107,30/11/2018,0.9319
399107,3/12/2018,3.2789
399107,4/12/2018,0.4301
399107,5/12/2018,-0.4839
399107,6/12/2018,-2.1772
399107,7/12/2018,-0.0025
399107,10/12/2018,-1.3439
399107,11/12/2018,0.8555
399107,12/12/2018,0.1568
399107,13/12/2018,1.1052
399107,14/12/2018,-2.4665
399107,17/12/2018,-0.3091
399107,18/12/2018,-0.8148
399107,19/12/2018,-1.3796
399107,20/12/2018,0.2041
399107,21/12/2018,-0.9588
399107,24/12/2018,0.8611
399107,25/12/2018,-0.814
399107,26/12/2018,-0.4212
399107,27/12/2018,-1.2189
399107,28/12/2018,0.2879
399107,2/1/2019,-0.9075
399107,3/1/2019,-0.7999
399107,4/1/2019,2.6628
399107,7/1/2019,1.7157
399107,8/1/2019,-0.1166
399107,9/1/2019,0.5405
399107,10/1/2019,-0.2671
399107,11/1/2019,0.7585
399107,14/1/2019,-0.7316
399107,15/1/2019,1.4912
399107,16/1/2019,-0.1232
399107,17/1/2019,-0.9391
399107,18/1/2019,0.9948
399107,21/1/2019,0.6081
399107,22/1/2019,-1.173
399107,23/1/2019,0.1291
399107,24/1/2019,0.4587
399107,25/1/2019,-0.1776
399107,28/1/2019,-0.3797
399107,29/1/2019,-1.1162
399107,30/1/2019,-1.2798
399107,31/1/2019,-0.7007
399107,1/2/2019,2.7673
399107,11/2/2019,2.8981
399107,12/2/2019,1.2013
399107,13/2/2019,1.8728
399107,14/2/2019,0.6609
399107,15/2/2019,-0.6692
399107,18/2/2019,3.7099
399107,19/2/2019,0.1842
399107,20/2/2019,0.3224
399107,21/2/2019,-0.2715
399107,22/2/2019,2.2822
399107,25/2/2019,5.4225
399107,26/2/2019,-0.4867
399107,27/2/2019,-0.5688
399107,28/2/2019,0.3521
399107,1/3/2019,1.1982
399107,4/3/2019,2.2163
399107,5/3/2019,2.2863
399107,6/3/2019,1.496
399107,7/3/2019,0.4929
399107,8/3/2019,-3.794
399107,11/3/2019,3.9014
399107,12/3/2019,1.6816
399107,13/3/2019,-2.3188
399107,14/3/2019,-2.3139
399107,15/3/2019,1.4261
399107,18/3/2019,2.7084
399107,19/3/2019,0.1772
399107,20/3/2019,-0.2484
399107,21/3/2019,0.7666
399107,22/3/2019,0.2029
399107,25/3/2019,-1.4412
399107,26/3/2019,-2.1782
399107,27/3/2019,0.899
399107,28/3/2019,-0.9067
399107,29/3/2019,3.3836
399107,1/4/2019,3.5751
399107,2/4/2019,0.1115
399107,3/4/2019,0.8238
399107,4/4/2019,0.4454
399107,8/4/2019,-0.5522
399107,9/4/2019,0.7242
399107,10/4/2019,-0.2106
399107,11/4/2019,-2.1881
399107,12/4/2019,-0.1061
399107,15/4/2019,-0.8368
399107,16/4/2019,2.0985
399107,17/4/2019,0.7202
399107,18/4/2019,-0.5893
399107,19/4/2019,0.9389
399107,22/4/2019,-1.513
399107,23/4/2019,-1.3174
399107,24/4/2019,1.1021
399107,25/4/2019,-3.4152
399107,26/4/2019,-1.3319
399107,29/4/2019,-2.4149
399107,30/4/2019,0.6747
399107,6/5/2019,-7.3861
399107,7/5/2019,1.617
399107,8/5/2019,-0.6508
399107,9/5/2019,-1.2803
399107,10/5/2019,3.8392
399107,13/5/2019,-1.0758
399107,14/5/2019,-0.6237
399107,15/5/2019,2.3274
399107,16/5/2019,0.4389
399107,17/5/2019,-3.2599
399107,20/5/2019,-0.747
399107,21/5/2019,1.773
399107,22/5/2019,-0.5065
399107,23/5/2019,-2.4354
399107,24/5/2019,-0.4896
399107,27/5/2019,2.5107
399107,28/5/2019,0.5312
399107,29/5/2019,-0.0007
399107,30/5/2019,-0.6253
399107,31/5/2019,-0.0115
399107,3/6/2019,-1.0432
399107,4/6/2019,-1.4332
399107,5/6/2019,0.0408
399107,6/6/2019,-2.081
399107,10/6/2019,1.3357
399107,11/6/2019,3.7118
399107,12/6/2019,-0.6388
399107,13/6/2019,0.2884
399107,14/6/2019,-1.8123
399107,17/6/2019,-0.1952
399107,18/6/2019,0.1632
399107,19/6/2019,1.4764
399107,20/6/2019,1.9549
399107,21/6/2019,1.3383
399107,24/6/2019,-0.0851
399107,25/6/2019,-0.9925
399107,26/6/2019,0.0025
399107,27/6/2019,1.0932
399107,28/6/2019,-0.9613
399107,1/7/2019,3.4657
399107,2/7/2019,0.1591
399107,3/7/2019,-1.1814
399107,4/7/2019,-0.5492
399107,5/7/2019,0.6253
399107,8/7/2019,-2.9006
399107,9/7/2019,0.2121
399107,10/7/2019,-0.4654
399107,11/7/2019,-0.1248
399107,12/7/2019,0.5065
399107,15/7/2019,1.0028
399107,16/7/2019,-0.0336
399107,17/7/2019,0.1629
399107,18/7/2019,-1.6354
399107,19/7/2019,0.752
399107,22/7/2019,-1.7877
399107,23/7/2019,0.8795
399107,24/7/2019,1.1077
399107,25/7/2019,0.6293
399107,26/7/2019,0.0416
399107,29/7/2019,0.0947
399107,30/7/2019,0.4529
399107,31/7/2019,-0.6801
399107,1/8/2019,-0.525
399107,2/8/2019,-1.485
399107,5/8/2019,-1.4674
399107,6/8/2019,-1.7765
399107,7/8/2019,-0.4277
399107,8/8/2019,1.0114
399107,9/8/2019,-1.2744
399107,12/8/2019,1.9725
399107,13/8/2019,-0.6851
399107,14/8/2019,0.6912
399107,15/8/2019,0.5366
399107,16/8/2019,0.5545
399107,19/8/2019,3.0498
399107,20/8/2019,0.1366
399107,21/8/2019,-0.0952
399107,22/8/2019,0.4004
399107,23/8/2019,-0.0127
399107,26/8/2019,-0.7688
399107,27/8/2019,1.8702
399107,28/8/2019,-0.125
399107,29/8/2019,-0.1719
399107,30/8/2019,-0.7435
399107,2/9/2019,2.262
399107,3/9/2019,0.6605
399107,4/9/2019,0.6684
399107,5/9/2019,0.9311
399107,6/9/2019,0.3558
399107,9/9/2019,1.9159
399107,10/9/2019,-0.112
399107,11/9/2019,-0.937
399107,12/9/2019,0.5804
