Stkcd,Name,Annodt,Year Ended,Event,Particular,Type,Ex-Date,Book Close Date,Payable Date
,,15/3/2018,Dec-17,Final,D:RMB 0.3810(equivalent to HKD 0.4646),Cash,12/7/2018,2018/07/14-2018/07/20,20/8/2018
,,22/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,20/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,26/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,15/3/2017,Dec-16,Final,D:RMB 0.2800(equivalent to HKD 0.3208),Cash,13/7/2017,2017/07/15-2017/07/21,18/8/2017
,,25/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,29/8/2016,Dec-16,Special,SD:RMB 0.3000(equivalent to HKD 0.3434),Cash,24/11/2016,2016/11/26-2016/12/01,23/12/2016
,,17/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,27/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,18/3/2016,Dec-15,Final,No Dividend,-,-,-,-
,,30/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,14/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,27/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
,,20/3/2015,Dec-14,Final,D:RMB 0.2800 (equivalent to HKD 0.3551),Cash,31/7/2015,2015/08/04-2015/08/10,24/8/2015
,,29/10/2014,Dec-14,Quarter 3,No Dividend,-,-,-,-
,,29/8/2014,Dec-14,Interim,No Dividend,-,-,-,-
,,28/4/2014,Dec-14,Quarter 1,No Dividend,-,-,-,-
,,17/3/2014,Dec-13,Final,D:RMB 0.2300(equivalent to HKD 0.2897),Cash,25/7/2014,2014/07/29-2014/08/04,20/8/2014
,,30/10/2013,Dec-13,Special,SD:RMB 0.0600(equivalent to HKD 0.0761),Cash,28/1/2014,2014/01/30-2014/02/04,28/2/2014
,,30/10/2013,Dec-13,Quarter 3,No Dividend,-,-,-,-
,,30/8/2013,Dec-13,Interim,No Dividend,-,-,-,-
,,26/4/2013,Dec-13,Quarter 1,No Dividend,-,-,-,-
,,1/3/2013,Dec-12,Final,No Dividend,-,-,-,-
,,29/10/2012,Dec-12,Quarter 3,No Dividend,-,-,-,-
,,24/8/2012,Dec-12,Interim,No Dividend,-,-,-,-
,,16/2/2012,Dec-11,Final,D:RMB 0.1000,Cash,24/4/2012,2012/04/26-2012/05/02,11/6/2012
,,26/8/2011,Dec-11,Interim,No Dividend,-,-,-,-
,,25/3/2011,Dec-10,Final,D:RMB 0.0500,Cash,19/5/2011,2011/05/21-2011/06/21,12/8/2011
,,27/8/2010,Dec-10,Interim,No Dividend,-,-,-,-
,,26/3/2010,Dec-09,Final,D:RMB 0.0500,Cash,27/5/2010,2010/05/29-2010/06/28,10/8/2010
,,28/8/2009,Dec-09,Interim,No Dividend,-,-,-,-
,,29/3/2009,Dec-08,Final,D:RMB 0.0400,Cash,18/5/2009,2009/05/20-2009/06/19,10/8/2009
,,28/8/2008,Dec-08,Interim,No Dividend,-,-,-,-
,,28/3/2008,Dec-07,Final,D: RMB 0.1240,Cash,25/4/2008,2008/04/29-2008/05/29,13/6/2008
,,28/8/2007,Dec-07,Interim,No Dividend,-,-,-,-
,,30/4/2007,Dec-06,Final,D: RMB 0.0840,Cash,14/5/2007,2007/05/16-2007/06/15,29/6/2007
,,25/8/2006,Dec-06,Interim,No Dividend,-,-,-,-
,,31/3/2006,Dec-05,Final,D: RMB 0.0700,Cash,15/5/2006,2006/05/17-2006/06/14,30/6/2006
,,12/8/2005,Dec-05,Interim,No Dividend,-,-,-,-
,,26/4/2005,Dec-04,Final,D: RMB 0.0250,Cash,27/5/2005,2005/05/31-2005/06/29,18/7/2005
,,27/8/2004,Dec-04,Interim,No Dividend,-,-,-,-
,,26/3/2004,Dec-03,Final,D: RMB 0.0600,Cash,10/5/2004,2004/05/12-2004/06/11,25/6/2004
,,15/8/2003,Dec-03,Interim,No Dividend,-,-,-,-
,,21/3/2003,Dec-02,Final,D: RMB 0.0600,Cash,15/4/2003,2003/04/17-2003/05/16,30/5/2003
,,16/8/2002,Dec-02,Interim,No Dividend,-,-,-,-
,,4/4/2002,Dec-01,Final,D: RMB 0.0600,Cash,6/5/2002,2002/05/08-2002/06/07,21/6/2002
,,17/8/2001,Dec-01,Interim,No Dividend,-,-,-,-
,,20/4/2001,Dec-00,Final,D: RMB 0.0300,Cash,14/5/2001,2001/05/16-2001/06/15,29/6/2001
