Indexcd,Trddt,Idxret
HSI,29/6/2018,0.016064
HSI,3/7/2018,-0.014144
HSI,4/7/2018,-0.010646
HSI,5/7/2018,-0.00211
HSI,6/7/2018,0.004738
HSI,9/7/2018,0.013169
HSI,10/7/2018,-0.000218
HSI,11/7/2018,-0.012919
HSI,12/7/2018,0.005974
HSI,13/7/2018,0.001566
HSI,16/7/2018,0.000499
HSI,17/7/2018,-0.012543
HSI,18/7/2018,-0.00228
HSI,19/7/2018,-0.00379
HSI,20/7/2018,0.007626
HSI,23/7/2018,0.001121
HSI,24/7/2018,0.014384
HSI,25/7/2018,0.009013
HSI,26/7/2018,-0.004832
HSI,27/7/2018,0.000804
HSI,30/7/2018,-0.00247
HSI,31/7/2018,-0.005225
HSI,1/8/2018,-0.008476
HSI,2/8/2018,-0.022095
HSI,3/8/2018,-0.00138
HSI,6/8/2018,0.005176
HSI,7/8/2018,0.015432
HSI,8/8/2018,0.003903
HSI,9/8/2018,0.008751
HSI,10/8/2018,-0.008413
HSI,13/8/2018,-0.01516
HSI,14/8/2018,-0.006573
HSI,15/8/2018,-0.01547
HSI,16/8/2018,-0.008181
HSI,17/8/2018,0.004183
HSI,20/8/2018,0.014133
HSI,21/8/2018,0.005608
HSI,22/8/2018,0.006298
HSI,23/8/2018,-0.00491
HSI,24/8/2018,-0.004267
HSI,27/8/2018,0.021661
HSI,28/8/2018,0.002842
HSI,29/8/2018,0.002286
HSI,30/8/2018,-0.008882
HSI,31/8/2018,-0.009782
HSI,3/9/2018,-0.006311
HSI,4/9/2018,0.009411
HSI,5/9/2018,-0.026078
HSI,6/9/2018,-0.009875
HSI,7/9/2018,-0.00005
HSI,10/9/2018,-0.013348
HSI,11/9/2018,-0.007172
HSI,12/9/2018,-0.002933
HSI,13/9/2018,0.025411
HSI,14/9/2018,0.010066
HSI,17/9/2018,-0.012957
HSI,18/9/2018,0.005637
HSI,19/9/2018,0.011915
HSI,20/9/2018,0.002565
HSI,21/9/2018,0.01732
HSI,24/9/2018,-0.016248
HSI,26/9/2018,0.011545
HSI,27/9/2018,-0.003638
HSI,28/9/2018,0.002628
HSI,2/10/2018,-0.023828
HSI,3/10/2018,-0.001295
HSI,4/10/2018,-0.017252
HSI,5/10/2018,-0.001927
HSI,8/10/2018,-0.013924
HSI,9/10/2018,-0.001132
HSI,10/10/2018,0.00077
HSI,11/10/2018,-0.03538
HSI,12/10/2018,0.021179
HSI,15/10/2018,-0.013814
HSI,16/10/2018,0.000676
HSI,18/10/2018,-0.000303
HSI,19/10/2018,0.004198
HSI,22/10/2018,0.02315
HSI,23/10/2018,-0.030841
HSI,24/10/2018,-0.003818
HSI,25/10/2018,-0.010112
HSI,26/10/2018,-0.011076
HSI,29/10/2018,0.00382
HSI,30/10/2018,-0.009129
HSI,31/10/2018,0.016032
HSI,1/11/2018,0.017467
HSI,2/11/2018,0.042113
HSI,5/11/2018,-0.020839
HSI,6/11/2018,0.007194
HSI,7/11/2018,0.001023
HSI,8/11/2018,0.003061
HSI,9/11/2018,-0.02386
HSI,12/11/2018,0.001221
HSI,13/11/2018,0.00623
HSI,14/11/2018,-0.005367
HSI,15/11/2018,0.017498
HSI,16/11/2018,0.003072
HSI,19/11/2018,0.007198
HSI,20/11/2018,-0.02016
HSI,21/11/2018,0.005075
HSI,22/11/2018,0.001846
HSI,23/11/2018,-0.003525
HSI,26/11/2018,0.017298
HSI,27/11/2018,-0.001677
HSI,28/11/2018,0.013315
HSI,29/11/2018,-0.008677
HSI,30/11/2018,0.002107
HSI,3/12/2018,0.025476
HSI,4/12/2018,0.002884
HSI,5/12/2018,-0.016168
HSI,6/12/2018,-0.024732
HSI,7/12/2018,-0.003541
HSI,10/12/2018,-0.011947
HSI,11/12/2018,0.000749
HSI,12/12/2018,0.016105
HSI,13/12/2018,0.012894
HSI,14/12/2018,-0.016195
HSI,17/12/2018,-0.000261
HSI,18/12/2018,-0.010493
HSI,19/12/2018,0.001981
HSI,20/12/2018,-0.009351
HSI,21/12/2018,0.005069
HSI,24/12/2018,-0.003962
HSI,27/12/2018,-0.006725
HSI,28/12/2018,0.000994
HSI,31/12/2018,0.01339
HSI,2/1/2019,-0.027678
HSI,3/1/2019,-0.002626
HSI,4/1/2019,0.022409
HSI,7/1/2019,0.008182
HSI,8/1/2019,0.001539
HSI,9/1/2019,0.022681
HSI,10/1/2019,0.002234
HSI,11/1/2019,0.005499
HSI,14/1/2019,-0.013835
HSI,15/1/2019,0.020228
HSI,16/1/2019,0.002676
HSI,17/1/2019,-0.005445
HSI,18/1/2019,0.012527
HSI,21/1/2019,0.003903
HSI,22/1/2019,-0.007026
HSI,23/1/2019,0.000102
HSI,24/1/2019,0.004176
